,model,resolution,volume,voxels,overhangs,unsupported,outside,surface
79,rabbit.ply,medium,6999999.999999997,13711,3888,16,4311,13241
80,rabbit.ply,high,69999999.99999997,124242,50160,30,20090,122767
81,pug.ply,low,700000.0,1775,1563,6,1110,1676
82,pug.ply,medium,6999999.999999994,14063,13248,20,4985,13655
83,pug.ply,high,70000000.00000006,125773,120976,22,22980,123947
84,bunny_alessia.ply,low,700000.0000000002,1736,505,7,1021,1573
85,bunny_alessia.ply,medium,7000000.0,13917,4911,33,4664,13335
86,bunny_alessia.ply,high,69999999.99999996,125174,75764,47,21668,123373
87,horse.ply,low,700000.0000000002,1883,1716,9,1256,1823
88,horse.ply,medium,7000000.0,14530,13814,18,5778,14282
89,horse.ply,high,69999999.99999994,127815,124202,42,26801,126824
90,pegaso.ply,low,700000.0000000005,2290,1354,32,1889,2058
91,pegaso.ply,medium,6999999.999999996,16387,10943,83,9134,15392
92,pegaso.ply,high,69999999.99999997,136690,93881,200,42827,132326
93,dino0.ply,low,700000.0000000002,1899,1345,19,1286,1801
94,dino0.ply,medium,6999999.999999998,14697,12062,20,6157,14408
95,dino0.ply,high,69999999.99999997,128809,114790,39,28618,127660
96,camille_hand.ply,low,700000.0000000005,1824,859,5,1170,1659
97,camille_hand.ply,medium,6999999.999999997,14306,6960,13,5398,13491
98,camille_hand.ply,high,69999999.99999999,127018,64875,26,25146,123345
